YR,MON,TOTAL,ClimAdjust,ANOM
1950,01,24.56,26.18,-1.62
1950,02,25.07,26.39,-1.32
1950,03,25.88,26.95,-1.07
1950,04,26.29,27.39,-1.11
1950,05,26.19,27.56,-1.37
1950,06,26.47,27.21,-0.74
1950,07,26.28,26.72,-0.44
1950,08,25.88,26.3,-0.42
1950,09,25.73,26.14,-0.41
1950,10,25.68,26.01,-0.32
1950,11,25.46,26.06,-0.6
1950,12,25.29,26.18,-0.88
1951,01,25.26,26.18,-0.92
1951,02,25.72,26.39,-0.66
1951,03,26.91,26.95,-0.04
1951,04,27.59,27.39,0.2
1951,05,27.93,27.56,0.37
1951,06,27.73,27.21,0.52
1951,07,27.59,26.72,0.87
1951,08,27.01,26.3,0.71
1951,09,27.22,26.14,1.08
1951,10,27.2,26.01,1.19
1951,11,27.25,26.06,1.19
1951,12,26.92,26.18,0.74
1952,01,26.67,26.18,0.49
1952,02,26.75,26.39,0.37
1952,03,27.19,26.95,0.24
1952,04,27.81,27.39,0.42
1952,05,27.79,27.56,0.23
1952,06,27.18,27.21,-0.03
1952,07,26.52,26.72,-0.2
1952,08,26.3,26.3,-0.0
1952,09,26.35,26.14,0.21
1952,10,26.25,26.01,0.25
1952,11,25.92,26.06,-0.14
1952,12,26.21,26.18,0.03
1953,01,26.74,26.18,0.56
1953,02,27.0,26.39,0.61
1953,03,27.57,26.95,0.62
1953,04,28.03,27.39,0.64
1953,05,28.28,27.56,0.71
1953,06,28.12,27.21,0.9
1953,07,27.42,26.72,0.7
1953,08,26.93,26.3,0.63
1953,09,27.0,26.14,0.85
1953,10,26.87,26.01,0.86
1953,11,26.88,26.06,0.82
1953,12,27.01,26.18,0.83
1954,01,26.98,26.18,0.8
1954,02,27.03,26.39,0.64
1954,03,26.91,26.95,-0.04
1954,04,26.65,27.39,-0.74
1954,05,27.11,27.56,-0.45
1954,06,26.79,27.21,-0.42
1954,07,26.1,26.72,-0.62
1954,08,25.42,26.3,-0.88
1954,09,25.11,26.14,-1.03
1954,10,25.22,26.01,-0.78
1954,11,25.56,26.06,-0.5
1954,12,25.26,26.18,-0.91
1955,01,25.62,26.18,-0.56
1955,02,25.82,26.39,-0.57
1955,03,26.23,26.95,-0.72
1955,04,26.61,27.39,-0.78
1955,05,26.65,27.56,-0.91
1955,06,26.54,27.21,-0.67
1955,07,26.14,26.72,-0.58
1955,08,25.5,26.3,-0.8
1955,09,25.28,26.14,-0.87
1955,10,24.41,26.01,-1.6
1955,11,24.25,26.06,-1.81
1955,12,24.57,26.18,-1.61
1956,01,25.34,26.33,-0.99
1956,02,25.77,26.51,-0.74
1956,03,26.47,27.01,-0.54
1956,04,26.86,27.46,-0.6
1956,05,27.13,27.59,-0.46
1956,06,26.81,27.29,-0.48
1956,07,26.22,26.8,-0.58
1956,08,25.67,26.32,-0.65
1956,09,25.72,26.15,-0.43
1956,10,25.74,26.03,-0.29
1956,11,25.56,26.1,-0.54
1956,12,25.71,26.18,-0.47
1957,01,26.04,26.33,-0.29
1957,02,26.54,26.51,0.02
1957,03,27.46,27.01,0.45
1957,04,28.23,27.46,0.77
1957,05,28.54,27.59,0.94
1957,06,28.35,27.29,1.05
1957,07,28.15,26.8,1.34
1957,08,27.68,26.32,1.36
1957,09,27.42,26.15,1.27
1957,10,27.41,26.03,1.37
1957,11,27.62,26.1,1.52
1957,12,27.89,26.18,1.71
1958,01,28.32,26.33,1.98
1958,02,28.24,26.51,1.72
1958,03,28.27,27.01,1.26
1958,04,28.28,27.46,0.81
1958,05,28.3,27.59,0.71
1958,06,27.98,27.29,0.69
1958,07,27.31,26.8,0.51
1958,08,26.84,26.32,0.52
1958,09,26.4,26.15,0.25
1958,10,26.45,26.03,0.41
1958,11,26.75,26.1,0.65
1958,12,26.61,26.18,0.44
1959,01,27.07,26.33,0.74
1959,02,27.18,26.51,0.67
1959,03,27.47,27.01,0.46
1959,04,27.88,27.46,0.42
1959,05,27.69,27.59,0.1
1959,06,27.36,27.29,0.07
1959,07,26.43,26.8,-0.37
1959,08,26.09,26.32,-0.24
1959,09,25.92,26.15,-0.23
1959,10,26.24,26.03,0.2
1959,11,26.04,26.1,-0.06
1959,12,26.18,26.18,0.0
1960,01,26.26,26.33,-0.07
1960,02,26.29,26.51,-0.22
1960,03,26.99,27.01,-0.02
1960,04,27.49,27.46,0.03
1960,05,27.68,27.59,0.08
1960,06,27.23,27.29,-0.06
1960,07,26.87,26.8,0.07
1960,08,26.69,26.32,0.36
1960,09,26.43,26.15,0.28
1960,10,26.21,26.03,0.18
1960,11,26.25,26.1,0.15
1960,12,26.22,26.18,0.04
1961,01,26.23,26.27,-0.04
1961,02,26.56,26.45,0.1
1961,03,26.94,26.92,0.02
1961,04,27.37,27.37,-0.0
1961,05,27.75,27.49,0.26
1961,06,27.66,27.22,0.44
1961,07,26.87,26.76,0.11
1961,08,26.18,26.3,-0.12
1961,09,25.78,26.16,-0.38
1961,10,25.7,26.09,-0.38
1961,11,26.07,26.08,-0.01
1961,12,25.98,26.14,-0.16
1962,01,25.96,26.27,-0.3
1962,02,26.2,26.45,-0.26
1962,03,26.81,26.92,-0.11
1962,04,27.13,27.37,-0.24
1962,05,27.05,27.49,-0.44
1962,06,27.08,27.22,-0.14
1962,07,26.75,26.76,-0.0
1962,08,26.32,26.3,0.02
1962,09,25.93,26.16,-0.23
1962,10,25.96,26.09,-0.12
1962,11,25.75,26.08,-0.32
1962,12,25.67,26.14,-0.47
1963,01,25.77,26.27,-0.5
1963,02,26.23,26.45,-0.23
1963,03,27.18,26.92,0.26
1963,04,27.79,27.37,0.41
1963,05,27.63,27.49,0.14
1963,06,27.61,27.22,0.39
1963,07,27.77,26.76,1.02
1963,08,27.47,26.3,1.17
1963,09,27.39,26.16,1.23
1963,10,27.35,26.09,1.26
1963,11,27.46,26.08,1.39
1963,12,27.61,26.14,1.47
